,rmse,cell policy
MAGNet,0.019908090587705374,6C(20%)-4.5C
MAGNet,0.024518862832337618,6C(20%)-4.5C
MAGNet,0.018432107288390398,6C(20%)-4.5C
MAGNet,0.020890718791633844,6C(20%)-4.5C
MAGNet,0.022809557151049376,6C(20%)-4.5C
MAGNet,0.02673933980986476,6C(20%)-4.5C
MAGNet,0.020517520140856504,6C(20%)-4.5C
MAGNet,0.01809460762888193,6C(20%)-4.5C
MAGNet,0.019998020492494106,6C(20%)-4.5C
MAGNet,0.01876563671976328,6C(20%)-4.5C
MAGNet,0.01931152306497097,6C(20%)-4.5C
MAGNet,0.02144402079284191,6C(20%)-4.5C
MAGNet,0.02164403861388564,6C(20%)-4.5C
MAGNet,0.02087215567007661,6C(20%)-4.5C
MAGNet,0.019673665519803762,6C(20%)-4.5C
MAGNet,0.01880047982558608,6C(20%)-4.5C
MAGNet,0.01835926715284586,6C(20%)-4.5C
MAGNet,0.02124534733593464,6C(20%)-4.5C
MAGNet,0.01926169591024518,6C(20%)-4.5C
MAGNet,0.022662275936454535,6C(20%)-4.5C
MAGNet,0.02015991322696209,6C(20%)-4.5C
MAGNet,0.019047966226935387,6C(20%)-4.5C
MAGNet,0.020408792421221733,6C(20%)-4.5C
MAGNet,0.017557708080857992,6C(20%)-4.5C
MAGNet,0.015100297518074512,6C(20%)-4.5C
MAGNet,0.014649092452600598,6C(20%)-4.5C
MAGNet,0.015739772468805313,6C(20%)-4.5C
MAGNet,0.018089222721755505,6C(20%)-4.5C
MAGNet,0.017958715092390776,6C(20%)-4.5C
MAGNet,0.01696578972041607,6C(20%)-4.5C
MAGNet,0.017159377923235297,6C(20%)-4.5C
MAGNet,0.0167677435092628,6C(20%)-4.5C
MAGNet,0.015098907751962543,6C(20%)-4.5C
MAGNet,0.014511695131659508,6C(20%)-4.5C
MAGNet,0.013831501360982656,6C(20%)-4.5C
MAGNet,0.014970880933105946,6C(20%)-4.5C
MAGNet,0.016404207330197096,6C(20%)-4.5C
MAGNet,0.015003882115706801,6C(20%)-4.5C
MAGNet,0.0162645501550287,6C(20%)-4.5C
MAGNet,0.015919488621875644,6C(20%)-4.5C
MAGNet,0.013876696350052953,6C(20%)-4.5C
MAGNet,0.014675506856292486,6C(20%)-4.5C
MAGNet,0.013389234896749258,6C(20%)-4.5C
MAGNet,0.013609660556539893,6C(20%)-4.5C
MAGNet,0.014376101549714804,6C(20%)-4.5C
MAGNet,0.01348026329651475,6C(20%)-4.5C
MAGNet,0.014377970481291413,6C(20%)-4.5C
MAGNet,0.015426208963617682,6C(20%)-4.5C
MAGNet,0.014833315508440137,6C(20%)-4.5C
MAGNet,0.01521887443959713,6C(20%)-4.5C
MAGNet,0.014955745078623295,6C(20%)-4.5C
MAGNet,0.015060721198096871,6C(20%)-4.5C
MAGNet,0.015220158733427525,6C(20%)-4.5C
MAGNet,0.015465146396309137,6C(20%)-4.5C
MAGNet,0.016703137662261724,6C(20%)-4.5C
MAGNet,0.015580862294882536,6C(20%)-4.5C
MAGNet,0.01577389147132635,6C(20%)-4.5C
MAGNet,0.015943743288517,6C(20%)-4.5C
MAGNet,0.01619691727682948,6C(20%)-4.5C
