,alpha-acc,Conditions
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,0.9818840579710144,CY25-05
MAGNet,0.9817518248175183,CY25-05
MAGNet,0.9852941176470589,CY25-05
MAGNet,0.9888888888888889,CY25-05
MAGNet,0.9888059701492538,CY25-05
MAGNet,0.9849624060150376,CY25-05
MAGNet,0.9734848484848485,CY25-05
MAGNet,0.950381679389313,CY25-05
MAGNet,0.9615384615384616,CY25-05
MAGNet,0.9496124031007752,CY25-05
MAGNet,0.953125,CY25-05
MAGNet,0.9448818897637795,CY25-05
MAGNet,0.9484126984126984,CY25-05
MAGNet,0.952,CY25-05
MAGNet,0.9516129032258065,CY25-05
MAGNet,0.9471544715447154,CY25-05
MAGNet,0.9508196721311475,CY25-05
MAGNet,0.9504132231404958,CY25-05
MAGNet,0.9541666666666666,CY25-05
MAGNet,0.953781512605042,CY25-05
MAGNet,0.9194915254237288,CY25-05
MAGNet,0.905982905982906,CY25-05
MAGNet,0.9094827586206897,CY25-05
MAGNet,0.9086956521739131,CY25-05
MAGNet,0.9078947368421053,CY25-05
MAGNet,0.8938053097345133,CY25-05
MAGNet,0.9241071428571428,CY25-05
MAGNet,0.9369369369369369,CY25-05
MAGNet,0.9409090909090909,CY25-05
MAGNet,0.9541284403669725,CY25-05
MAGNet,0.962962962962963,CY25-05
MAGNet,0.9719626168224299,CY25-05
MAGNet,0.9669811320754718,CY25-05
MAGNet,0.9619047619047619,CY25-05
MAGNet,0.9567307692307692,CY25-05
MAGNet,0.9660194174757282,CY25-05
MAGNet,0.9754901960784313,CY25-05
MAGNet,0.9702970297029703,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,0.9948979591836735,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,0.9878048780487805,CY25-05
MAGNet,0.9814814814814814,CY25-05
MAGNet,0.98125,CY25-05
MAGNet,0.9810126582278481,CY25-05
